English,EnglishMeaning,POS,EnglishPronunciation ,Lang,EnglishSentence,EnglishSentenceTranslate,EnglishAudio,LangAudio
in,with ratios and quantities,preposition,in,که در,Four people in five preferred the first brand of soda.,چهار نفر در پنج نفر از نام تجاری اول سودا ترجیح دادند.,,
in,used to indicate activity,preposition,in,که در,I heard you can make a lot of money in sales.,من شنیدم که شما می توانید پول زیادی در فروش داشته باشید.,,
in,inside,adverb,in,که در,"Am I going to stand out here all day, or are you going to invite me in?","آیا می خواهم در تمام طول روز ایستادگی کنم، یا می خواهید من را دعوت کنید؟",,
in,fashionable,adverb,in,که در,Short skirts are no longer in.,دامن کوتاه دیگر در,,
in,present,adverb,in,که در,I'm afraid the doctor isn't in today.,من می ترسم دکتر امروز نیست.,,
in,sports,adverb,in,که در,I'm sure that serve was in!,من مطمئن هستم که خدمت در آن بود!,,
in,connection,noun,in,که در,He only got the job because his dad has an in with the company.,"او فقط این کار را گرفت، زیرا پدرش با شرکت همراه است.",,
in,inch or inches,abbreviation,in,که در,1 in equals 25.40 mm.,1 در برابر 25.40 میلی متر است.,,
i,letter,noun,i,من,"""India"" begins with an i.","""هند"" با من شروع می شود.",,
you,subject; used to address one person,pronoun,you,شما,"You are so tall, Sam.","شما خیلی بلند هستید، سام.",,
you,object; used to address one person,pronoun,you,شما,I'll see you there.,من تو را ببینم,,
you,"object; used to address one person, after a preposition",pronoun,you,شما,I'll do it for you.,من آن را برای شما انجام خواهم داد.,,
you,subject; used to address multiple people,pronoun,you,شما,You two are funny.,شما دو نفر خنده دار هستند,,
you,object; used to address multiple people,pronoun,you,شما,I am going to buy you lunch.,من قصد دارم شما را ناهار بخرم,,
you,"object; used to address multiple people, after a preposition",pronoun,you,شما,I'm going with you.,با هم می رویم.,,
you,impersonal,pronoun,you,شما,You don't lie to your parents.,شما به والدین خود دروغ نمی گویید,,
it,"direct object, masculine",pronoun,it,آی تی,I couldn't believe it.,من نمیتوانم آن را باور کنم,,
it,"direct object, feminine",pronoun,it,آی تی,Buy some meat and cook it.,خرید برخی از گوشت و طبخ آن.,,
it,indirect object,pronoun,it,آی تی,Why did you give it a name? It's a bike!,چرا نام آن را دادید؟ این یک دوچرخه است!,,
it,"after preposition, masculine",pronoun,it,آی تی,Here's the envelope. There's something inside it.,در اینجا پاکت نامه است. چیزی در داخل آن وجود دارد.,,
it,"after preposition, feminine",pronoun,it,آی تی,"The child jumped into the bed, convinced that there was something under it.","کودک به تخت پرید، متقاعد کرد که چیزی زیر آن وجود دارد.",,
it,"after preposition, neuter",pronoun,it,آی تی,Forget about it!,فراموشش کن!,,
it,personal,pronoun,it,آی تی,I don't think it will fit in the car.,من فکر نمی کنم آن را در ماشین مناسب باشد.,,
it,impersonal,pronoun,it,آی تی,It was a foggy night.,این یک شب مهربان بود.,,
have,to own,transitive verb,have,دارند,"My parents have a home, a car, and three beautiful children.","والدین من یک خانه، ماشین و سه کودک زیبا دارند.",,
have,to suffer,transitive verb,have,دارند,How do I know if my child has an infection?,چگونه می توانم بدانم که فرزند من عفونت دارد؟,,
have,to experience,transitive verb,have,دارند,I had the worst time trying to quit smoking.,من بدترین زمان تلاش برای ترک سیگار داشتم.,,
have,to consume,transitive verb,have,دارند,"I've had risotto before, and I'm not a fan.","من قبلا Risotto داشتم، و من طرفدار نیستم.",,
have,to receive,transitive verb,have,دارند,We had a lot of presents last Christmas.,ما بسیاری از کریسمس ها را ارائه دادیم.,,
have,to be gifted with,transitive verb,have,دارند,The new party leader has many great qualities.,رهبر حزب جدید دارای ویژگی های زیادی است.,,
have,to give birth to,transitive verb,have,دارند,My college roommate had a baby last week.,هم اتاقی کالج من هفته گذشته کودک داشت.,,
have,to allow,transitive verb,have,دارند,I won't have this mess under my roof!,من این آشفتگی را تحت سقف من ندارم!,,
have,causative use,transitive verb,have,دارند,I had my car washed at the weekend.,من ماشین خود را در آخر هفته شسته بودم.,,
have,"used to wish someone something, in interjections",transitive verb,have,دارند,Have a great time at the party!,یک زمان عالی در حزب داشته باشید!,,
have,used in perfect tenses,auxiliary verb,have,دارند,You haven't been here before.,شما قبلا اینجا نبودید,,
have,to be obliged to,auxiliary verb,have,دارند,I have to go to work tomorrow.,من باید فردا کار کنم,,
have,rich person,noun,have,دارند,I'd rather be one of the haves rather than the have-nots.,من ترجیح می دهم یکی از حوضچه ها باشد تا نه نه.,,
that,used to introduce a subordinate clause,conjunction,that,این,She said that she wanted to sleep.,او گفت که او می خواست بخوابد.,,
that,used to introduce a relative clause,pronoun,that,این,The dress that you saw yesterday was mine.,لباس دیروز دیروز من بود.,,
that,"demonstrative, neuter",pronoun,that,این,Bring me that.,این را به من بده,,
that,"demonstrative, masculine",pronoun,that,این,That is my ball.,این توپ من است,,
that,"demonstrative, feminine",pronoun,that,این,That is my apple.,این سیب من است,,
that,very,adverb,that,این,Big Ben is not that tall.,بزرگ بن این قد بلند نیست.,,
for,intended for,preposition,for,برای,This rack is for carrying your boat.,این قفسه برای حمل قایق خود است.,,
for,used to indicate purpose,preposition,for,برای,He gave me a trip to Mexico for my birthday.,او برای روز تولد من به مکزیک سفر کرد.,,
for,used to indicate destination,preposition,for,برای,She got on a plane for Santiago.,او در هواپیما برای سانتیاگو بود.,,
for,considering,preposition,for,برای,The hotel was fine for what it cost.,هتل خوب بود که هزینه آن را داشته باشد.,,
for,in exchange for,preposition,for,برای,I don't work for peanuts.,من برای بادام زمینی کار نمی کنم,,
for,used to indicate duration,preposition,for,برای,I worked there for two years.,من برای دو سال کار کردم.,,
for,before,preposition,for,برای,This has to be done for Friday.,این باید برای جمعه انجام شود.,,
for,in favor of,preposition,for,برای,Not many people would be for raising taxes.,بسیاری از مردم برای افزایش مالیات نیستند.,,
for,used to indicate distance,preposition,for,برای,We walked for ten miles.,ما برای ده مایل رفتیم,,
for,used to introduce an infinitive clause,preposition,for,برای,A lot of problems had to be solved for the machine to work.,بسیاری از مشکلات باید برای دستگاه برای کار حل شوند.,,
for,representing,preposition,for,برای,"The Y in YMCA stands for ""young.""","Y در YMCA برای ""جوان"" ایستاده است.",,
for,because of,preposition,for,برای,He's known for his bad temper.,او به خاطر خلق و خوی بدش شناخته شده است.,,
for,on behalf of,preposition,for,برای,He plays for Real Madrid.,او برای رئال مادرید بازی می کند.,,
for,in spite of,preposition,for,برای,"For all the problems we faced, we finished the project on time.","برای تمام مشکلات ما با ما، پروژه را به موقع به پایان رسانده ایم.",,
for,on the occasion of,preposition,for,برای,We had fish for lunch.,ما ماهی را برای ناهار داشتیم.,,
for,because,conjunction,for,برای,"They were hungry, for there was nothing to eat.","آنها گرسنه بودند، زیرا چیزی برای خوردن وجود نداشت.",,
do,to perform,transitive verb,do,انجام دادن,"Don't think about it, just do it.","در مورد آن فکر نکنید، فقط آن را انجام دهید.",,
do,to study,transitive verb,do,انجام دادن,I'm going to do Spanish next year.,من قصد دارم اسپانیایی سال آینده را انجام دهم.,,
do,to work as,transitive verb,do,انجام دادن,What do you do for a living?,برای امرار معاش چه کار می کنی؟,,
do,"film, theater, television, play",transitive verb,do,انجام دادن,The school did Macbeth this year.,این مدرسه سال جاری مکبیت را انجام داد.,,
do,"film, theater, television, role",transitive verb,do,انجام دادن,I did Romeo in a high-school production.,من رومئو را در تولید دبیرستان انجام دادم.,,
do,a distance,transitive verb,do,انجام دادن,We did the whole distance in less than two hours.,ما تمام فاصله را در کمتر از دو ساعت انجام دادیم.,,
do,a speed,transitive verb,do,انجام دادن,She was doing more than 100 miles an hour when she crashed.,"او زمانی که سقوط کرد، بیش از 100 مایل در ساعت انجام شد.",,
do,to visit,transitive verb,do,انجام دادن,We did Riviera Maya last summer.,ما تابستان گذشته Riviera Maya را انجام دادیم.,,
do,to cook,transitive verb,do,انجام دادن,Are you doing turkey for Thanksgiving?,آیا شما ترکیه را برای شکرگزاری انجام می دهید؟,,
do,to fix,transitive verb,do,انجام دادن,I need to get someone to come and do the kitchen ceiling.,من باید کسی را بگیرم و سقف آشپزخانه را انجام دهم.,,
do,"to fix, hair",transitive verb,do,انجام دادن,Where do you have your hair done?,موهای شما کجا انجام می شود؟,,
do,"to fix, nails",transitive verb,do,انجام دادن,I have to do my nails before going out.,قبل از خروج باید ناخن هایم را انجام دهم.,,
do,to achieve,transitive verb,do,انجام دادن,He did it!,او این کار را کرد!,,
do,to impersonate,transitive verb,do,انجام دادن,The comedienne who hosts the show does a mean Hillary Clinton.,"Comedienne که میزبان نمایش نشان می دهد، میانگین هیلاری کلینتون است.",,
do,products or goods,transitive verb,do,انجام دادن,Can you do me a discount for cash?,آیا می توانید تخفیف برای پول نقد را انجام دهید؟,,
do,"products or goods, in a store",transitive verb,do,انجام دادن,Do you do this in black?,آیا این کار را در سیاه انجام می دهید؟,,
do,"products or goods, in a bar or restaurant",transitive verb,do,انجام دادن,We don't do evening meals.,ما غذاهای شبانه را انجام نمی دهیم.,,
do,a period of time,transitive verb,do,انجام دادن,I did five years in a boarding school.,من پنج سال در یک مدرسه شبانه روزی انجام دادم,,
do,"a period of time, a sentence",transitive verb,do,انجام دادن,He did ten years for armed robbery.,او ده سال برای سرقت مسلحانه انجام داد.,,
do,"harm, damage or good",transitive verb,do,انجام دادن,A vacation will do you good.,تعطیلات شما را خوب خواهد کرد.,,
do,an effort,transitive verb,do,انجام دادن,I did my best.,من هرچه از دستم بر می آمد انجام دادم.,,
do,drugs,transitive verb,do,انجام دادن,Do you do drugs?,آیا شما مواد مخدر را انجام می دهید؟,,
do,to have sex with,transitive verb,do,انجام دادن,"I'd do Jim's sister, wouldn't you?","خواهر جیم را می خواهم، آیا شما نیست؟",,
do,to get on,intransitive verb,do,انجام دادن,She was doing well in her new job.,او به خوبی کار خود را به خوبی انجام داد.,,
do,to behave,intransitive verb,do,انجام دادن,Be good and do as Mommy says.,خوب باشید و به عنوان مامان می گوید.,,
do,to be satisfactory or enough,intransitive verb,do,انجام دادن,"There are no pears left, but apples will do.","هیچ گلابی وجود ندارد، اما سیب انجام خواهد شد.",,
do,to form questions,auxiliary verb,do,انجام دادن,Did she leave?,آیا او ترک کرد؟,,
do,to form negatives,auxiliary verb,do,انجام دادن,He doesn't care.,او اهمیتی نمی دهد,,
do,in tag questions,auxiliary verb,do,انجام دادن,"He never apologized, did he?","او هرگز عذرخواهی کرد، آیا او؟",,
do,for emphasis,auxiliary verb,do,انجام دادن,Do sit down!,نشستن!,,
do,to replace a verb,auxiliary verb,do,انجام دادن,"Did he ask her out? - No, he didn't.","آیا او از او خواسته بود؟ - نه، او نبود",,
do,party,noun,do,انجام دادن,They are having a birthday do next Saturday.,آنها روز تولد را می گذرانند.,,
do,hairdo,noun,do,انجام دادن,A gust of wind messed up her do.,افتخار باد او را خراب کرد.,,
do,music,noun,do,انجام دادن,"Let's warm up our voices with some scales: do, re, mi, ...","بیایید صدای ما را با برخی از مقیاس ها گرم کنیم: آیا، دوباره، من، ...",,
he,subject,pronoun,he,او,He is the man of my life.,او مرد زندگی من است.,,
he,male,noun,he,او,We can't tell whether it is a he or a she.,ما نمی توانیم بگوییم که آیا او او یا او است.,,
with,accompanying,preposition,with,با,Will you go out with him on Saturday?,آیا روز شنبه با او بیرون می روید؟,,
with,in descriptions,preposition,with,با,I dream of a house with a white fence.,من از یک خانه با یک حصار سفید رویایم.,,
with,used to indicate manner,preposition,with,با,In Japan they eat with chopsticks.,در ژاپن آنها با چپستیک ها می خورند.,,
with,according to,preposition,with,با,The tide varies with the Moon's position in its orbit.,جزر و مد با موقعیت ماه در مدار آن متفاوت است.,,
with,used to indicate cause,preposition,with,با,She shivered with cold when she went outside.,"وقتی او بیرون رفت، سرد شد.",,
with,despite,preposition,with,با,I think she's held up great with all she's been through!,من فکر می کنم او با همه چیز عالی است!,,
with,in the same direction,preposition,with,با,The leaves are flying up with the wind.,برگ ها با باد پرواز می کنند.,,
with,for or alongside,preposition,with,با,My uncle has been working with NASA for nearly 40 years.,عموی من تقریبا 40 سال با ناسا مشغول به کار بوده است.,,
on,used to indicate position,preposition,on,بر,There is a great photo on the front page.,یک عکس عالی در صفحه اول وجود دارد.,,
on,used to indicate place,preposition,on,بر,The village is on the border.,روستا در مرز است.,,
on,"used to indicate time, date or day",preposition,on,بر,Our anniversary is on Saturday.,سالگرد ما روز شنبه است.,,
on,used to indicate a completed action; used with gerund,preposition,on,بر,"On arriving home, her husband told her the bad news.",شوهرش در مورد ورود به خانه به او خبر بد را به او گفت.,,
on,used to indicate the subject,preposition,on,بر,"Today, you have the chance to have your say on the matter.","امروز، شما شانس خود را در مورد این موضوع دارید.",,
on,used to indicate the use of drugs or medication,preposition,on,بر,Are you on any medication?,آیا شما در هر دارو هستید؟,,
on,"used to indicate activity or treatment, trip, tour or vacation",preposition,on,بر,The band will be on tour until December.,این گروه تا ماه دسامبر در تور خواهد بود.,,
on,"used to indicate activity or treatment, diet",preposition,on,بر,I need to go on a diet and lose weight.,من نیاز به رژیم غذایی دارم و وزن کم می کنم.,,
on,used to indicate source,preposition,on,بر,Some sharks feed on plankton.,برخی از کوسه ها بر روی پلانکتون تغذیه می کنند.,,
on,used to indicate membership or inclusion,preposition,on,بر,He's on the Olympic swimming team.,او در تیم استخدام المپیک است.,,
on,"telecommunications, the Internet",preposition,on,بر,I spent hours on the Internet looking for information for my paper.,من ساعت ها را صرف اینترنت به دنبال اطلاعات برای مقاله من کردم.,,
on,"telecommunications, the phone",preposition,on,بر,"I have to talk with my boss, but he's on the phone at the moment.","من باید با رئیس من صحبت کنم، اما در حال حاضر او در تلفن است.",,
on,radio or TV,preposition,on,بر,Your favorite show is on TV tonight.,نمایش مورد علاقه شما امشب تلویزیون است.,,
on,"transport, in a bus, train or airplane",preposition,on,بر,I always get sick on the bus.,من همیشه در اتوبوس بیمار هستم,,
on,"transport, into a bus, train or airplane",preposition,on,بر,"We got on the plane at six, but we only took off half an hour later.","ما در شش هواپیما به هواپیما رسیدیم، اما ما فقط نیم ساعت بعد از آن رفتیم.",,
on,music,preposition,on,بر,"Playing on keyboards, Dave! A big round of applause for him!","بازی در صفحه کلید، دیو! یک دور بزرگ از تشویق او!",,
on,according to,preposition,on,بر,The order will be delivered based on your instructions.,سفارش بر اساس دستورالعمل های شما تحویل خواهد شد.,,
on,about one's person,preposition,on,بر,"Since she got robbed in the street, she doesn't like to have money on her.","از آنجایی که او در خیابان سرقت کرد، او دوست ندارد پول خود را پولی داشته باشد.",,
on,used to indicate who pays,preposition,on,بر,"The dinner is on my father, and I will buy the cinema tickets.",شام بر روی پدرم است و بلیط های سینما را خریداری خواهم کرد.,,
on,in place,adverb,on,بر,You can leave the tablecloth on.,شما می توانید سفره را ترک کنید.,,
on,with clothing,adverb,on,بر,You can leave your hat on.,میتونی کلاهت رو سرت نگه داری.,,
on,used to indicate time or place ahead,adverb,on,بر,"From next year on, I will be pursuing my real dream.","از سال آینده، من رویای واقعیم را دنبال خواهم کرد.",,
on,used to indicate continuation,adverb,on,بر,Dream on; nothing is impossible!,رویای هیچ چیز غیر ممکن نیست!,,
on,in operation,adjective,on,بر,"If the lights are on, the store's open.","اگر چراغ ها روشن باشند، فروشگاه باز است.",,
on,occurring,adjective,on,بر,The race is on to find the missing ship.,مسابقه برای پیدا کردن کشتی گمشده است.,,
on,"radio, TV, theater or cinema",adjective,on,بر,Is there anything good on at the movies?,آیا در فیلم ها خوب است؟,,
on,on duty,adjective,on,بر,Who’s on this weekend?,چه کسی در این آخر هفته است؟,,
on,used to indicate agreement,adjective,on,بر,I bet you $20 she doesn’t turn up. - You’re on!,من شرط می بندم شما 20 دلار او نمی شود. - تو هستی,,
this,"demonstrative, masculine",pronoun,this,این,This is my father's car.,این ماشین پدرم است.,,
this,"demonstrative, feminine",pronoun,this,این,This is the skirt I wore last night.,این دامن من شب گذشته بود.,,
this,"demonstrative, neuter",pronoun,this,این,All my life I've been looking for this.,تمام زندگی من من به دنبال این موضوع هستم.,,
this,demonstrative,pronoun,this,این,Is this enough for you or would you like a bigger piece?,آیا این به اندازه کافی برای شما است یا آیا شما یک قطعه بزرگتر را دوست دارید؟,,
this,very,adverb,this,این,I've never been this sick in my life.,من هرگز در زندگی ام این بیماری نیستم,,
NT,New Testament,abbreviation,NT,نکته,The books of the NT were written years after Jesus' death.,کتاب های NT سالها پس از مرگ عیسی نوشته شد.,,
NT,National Trust,abbreviation,NT,نکته,The NT has protected historic places in the United Kingdom for over a century.,این NT بیش از یک قرن از مکان های تاریخی در انگلستان محافظت کرده است.,,
we,subject,pronoun,we,ما,We are from the Dominican Republic.,ما از جمهوری دومینیکن هستیم.,,
not,with auxiliary verbs,adverb,not,نه,I am not the kind of person you think I am.,من فردی نیستم که فکر می کنید من هستم,,
not,with modal verbs,adverb,not,نه,He would not like it if he found you at his computer.,او آن را دوست ندارد اگر او شما را در کامپیوتر خود پیدا کرد.,,
not,preceding an infinitive clause,adverb,not,نه,We swore not to tell anybody about that night.,ما قسم خوردیم که در آن شب به کسی بگویید.,,
not,"as a conjunction with ""that""",adverb,not,نه,"I had to do it myself; not that it matters, but what do we pay him for?","من مجبور شدم خودم را انجام دهم؛ نه این که اهمیت دارد، اما ما به او پرداخت می کنیم؟",,
not,replacing a negative answer,adverb,not,نه,Are you angry with me? - Of course not!,آیا شما با من عصبانی هستید؟ - البته که نه!,,
not,negating a specific word,adverb,not,نه,Not everybody would agree with you.,نه همه با شما موافق نیستند,,
but,used to express a contrasting statement,conjunction,but,ولی,"I want to go, but it's really far.","من می خواهم بروم، اما واقعا خیلی دور است.",,
but,emphatic,conjunction,but,ولی,But it is still too early to go to bed!,اما هنوز خیلی زود است که به رختخواب بروید!,,
but,only,adverb,but,ولی,She is but a poor philosopher.,او بلکه یک فیلسوف فقیر است.,,
but,except,preposition,but,ولی,I have read all his books but the last one.,"من تمام کتابهای خود را خوانده ام، اما آخرین.",,
but,objection,noun,but,ولی,I don't want any buts or excuses.,من هیچکس یا عذر خواهی نمی خواهم,,
they,"subject, masculine",pronoun,they,آنها,They work in the rail industry.,آنها در صنعت ریلی کار می کنند.,,
they,"subject, feminine",pronoun,they,آنها,They are sisters.,آنها خواهرند.,,
they,indefinite use,pronoun,they,آنها,That's what they say!,این چیزی است که آنها می گویند!,,
say,to express,transitive verb,say,گفتن,Can you say that again? I didn't hear you the first time.,آیا می توانید دوباره بگویید؟ من اولین بار شما را نمی شنوم,,
say,to suppose,transitive verb,say,گفتن,Say we were to get married. Would you like that?,می گویند ما ازدواج کردیم دوست دارید که؟,,
say,opinion,noun,say,گفتن,It's important that everyone have a say in the meeting.,مهم است که همه در جلسه سخن بگویند.,,
at,used to indicate position,preposition,at,در,I'll be waiting for you at the finish line.,من منتظر شما هستم در خط پایان.,,
at,used to indicate direction,preposition,at,در,The dog was running at him.,سگ به او در حال اجرا بود.,,
at,"used to indicate time, specific time",preposition,at,در,The meeting starts at two in the afternoon.,جلسه در دو بعدازظهر شروع می شود.,,
at,"used to indicate time, time of day",preposition,at,در,We always eat late at night.,ما همیشه در اواخر شب می خوریم,,
at,used to indicate manner,preposition,at,در,It was love at first sight.,عشق در نگاه اول بود.,,
at,used to indicate activity,preposition,at,در,He's good at making the new employees feel welcome.,او خوب است که کارکنان جدید احساس خوشحالی کنند.,,
at,used to indicate cause,preposition,at,در,The poem communicates gratefulness at the fact of being alive.,"شعر در حقیقت زنده بودن، سپاسگزاری می کند.",,
at,the symbol @,preposition,at,در,Is your email address at-gmail-dot-com or at-yahoo-dot-com?,آیا آدرس ایمیل شما در Gmail-Dot-Com یا at-yahoo-dot-com است؟,,
what,in questions,pronoun,what,چی,What do you want me to do?,میخواهی من چه کاری برات انجام بدم؟,,
what,relative use,pronoun,what,چی,He smoked what he had left in his pipe.,او سیگار کشیدن آنچه را که او در لوله خود ترک کرده بود.,,
what,in exclamations,adjective,what,چی,What a nice day!,چه روز خوبی!,,
what,used to express surprise,interjection,what,چی,What? That can't be true!,چی؟ که نمی تواند درست باشد!,,
what,not understanding,interjection,what,چی,"What? Speak louder, please.",چی؟ لطفا بلندتر صحبت کنید.,,
his,possessive,adjective,his,خود,He hates it when I borrow his computer.,او از آن متنفر می شود وقتی که من کامپیوتر خود را قرض می گیرم.,,
from,in space,preposition,from,از جانب,The plane from Madrid arrives at 3 pm.,هواپیما از مادرید به ساعت 3 صبح می رسد.,,
from,in time,preposition,from,از جانب,"From that day onwards, they were inseparable.","از آن روز به بعد، آنها جدایی ناپذیر بودند.",,
from,used to indicate source,preposition,from,از جانب,Don't drink water from the hose!,آب را از شلنگ نوشیدن نکنید!,,
from,used to indicate distance,preposition,from,از جانب,The car stopped just two meters from the finish line.,ماشین تنها دو متر از خط پایان متوقف شد.,,
from,used to indicate range,preposition,from,از جانب,"The trip can take from 30 to 45 minutes, depending on traffic.",سفر می تواند از 30 تا 45 دقیقه بسته به ترافیک بگیرد.,,
from,used to indicate removal,preposition,from,از جانب,He was dismissed from his post.,او از پست خود اخراج شد.,,
from,used to indicate cause,preposition,from,از جانب,He died from a brain tumor.,او از یک تومور مغزی فوت کرد.,,
from,used to indicate prevention,preposition,from,از جانب,The plants need to be protected from frost.,گیاهان باید از یخ زدگی محافظت شوند.,,
from,in comparisons,preposition,from,از جانب,My situation is different from yours.,وضعیت من از شما متفاوت است.,,
from,mathematics,preposition,from,از جانب,25 from 50 is 25.,25 از 50 25 است.,,
go,to move or travel,intransitive verb,go,برو,Does this bus go to the city center?,آیا این اتوبوس به مرکز شهر می رود؟,,
